lambda1,lambda2,lambda3,lambda4,lambda5,m12_squared,beta,tan_beta,positivity_ok,unitarity_ok,perturbativity_ok,width_h2_bb,width_h2_tautau,width_h2_WW,width_h2_ZZ,width_hgaga,total_width_h2,branching_ratio_hgaga
0.000000,0.000000,9.734518,29.734518,9.734518,0.060000,0.080000,0.080171,true,false,false,0.000000,0.000000,18.338765,8.737827,0.000113,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.060000,0.100000,0.100335,true,false,false,0.000000,0.000000,27.281756,13.118613,0.000124,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.080000,0.020000,0.020003,true,false,false,0.000000,0.000000,1.289932,0.541753,0.000066,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.080000,0.040000,0.040021,true,false,false,0.000000,0.000000,5.161822,2.353309,0.000089,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.080000,0.060000,0.060072,true,false,false,0.000000,0.000000,10.926683,5.128378,0.000102,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.080000,0.080000,0.080171,true,false,false,0.000000,0.000000,18.338770,8.737829,0.000113,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.080000,0.100000,0.100335,true,false,false,0.000000,0.000000,27.281761,13.118615,0.000124,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.100000,0.020000,0.020003,true,false,false,0.000000,0.000000,1.289944,0.541758,0.000066,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.100000,0.040000,0.040021,true,false,false,0.000000,0.000000,5.161830,2.353313,0.000089,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.100000,0.060000,0.060072,true,false,false,0.000000,0.000000,10.926689,5.128382,0.000102,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.100000,0.080000,0.080171,true,false,false,0.000000,0.000000,18.338775,8.737832,0.000113,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,9.734518,0.100000,0.100000,0.100335,true,false,false,0.000000,0.000000,27.281766,13.118617,0.000124,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.000000,0.020000,0.020003,true,false,false,0.000000,0.000000,2.568932,1.131405,0.000076,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.000000,0.040000,0.040021,true,false,false,0.000000,0.000000,9.452645,4.419343,0.000097,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.000000,0.060000,0.060072,true,false,false,0.000000,0.000000,19.414765,9.273465,0.000112,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.000000,0.080000,0.080171,true,false,false,0.000000,0.000000,32.086113,15.494427,0.000125,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.000000,0.100000,0.100335,true,false,false,0.000000,0.000000,47.289967,22.987856,0.000139,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.020000,0.020000,0.020003,true,false,false,0.000000,0.000000,2.568946,1.131412,0.000076,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.020000,0.040000,0.040021,true,false,false,0.000000,0.000000,9.452654,4.419347,0.000097,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.020000,0.060000,0.060072,true,false,false,0.000000,0.000000,19.414772,9.273469,0.000112,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.020000,0.080000,0.080171,true,false,false,0.000000,0.000000,32.086119,15.494430,0.000125,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.020000,0.100000,0.100335,true,false,false,0.000000,0.000000,47.289973,22.987859,0.000139,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.040000,0.020000,0.020003,true,false,false,0.000000,0.000000,2.568960,1.131419,0.000076,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.040000,0.040000,0.040021,true,false,false,0.000000,0.000000,9.452664,4.419352,0.000097,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.040000,0.060000,0.060072,true,false,false,0.000000,0.000000,19.414780,9.273473,0.000112,-nan,0.000000
0.000000,0.000000,9.734518,29.734518,29.734518,0.040000,0.080000,0.080171,true,false,false,0.000000,0.000000,32.086126,15.494433,0.000125,-nan,0.000000
